,created_at,id,text,language
29,Mon May 03 23:58:38 +0000 2021,1.3893688373557084e+18,*\(^o^)/*Check out this Amazon deal: [New Release]DKnight Magicbox II Bluetooth 4.... by DKnight https://t.co/Pfwe0UQ4Ew amazonさんから,en
30,Mon May 03 23:58:35 +0000 2021,1.3893688247477248e+18,"Starfinder Adventure Path: Waking the Worldseed

11% off and part of the big buy one get one half off book sale.… https://t.co/aECzHGgM9l",en
31,Mon May 03 23:58:32 +0000 2021,1.3893688121187123e+18,"@TylerHarris_216 Thanks for reaching out with your feedback! We accept a variety of payment options, including cred… https://t.co/6CwMfhNBAn",en
32,Mon May 03 23:58:24 +0000 2021,1.3893687767565353e+18,"RT @OkroguLes: Just saw this on Amazon: Enemy of the People: The Untold Story of the Journalists Who Opposed Hitler by Petty, Terrence for…",en
33,Mon May 03 23:58:22 +0000 2021,1.3893687708130386e+18,"@preterniadotcom @TXHophead 👺 ""Tusken Raider"" 13"" Statue by Kotobukiya 👉 https://t.co/dDuPavbudz
Hurry! Only 4 LEFT!",en
34,Mon May 03 23:58:22 +0000 2021,1.3893687676002304e+18,https://t.co/CFTfsiwKYX,en
35,Mon May 03 23:58:19 +0000 2021,1.389368755571024e+18,RT @Wario64: A Die Hard Christmas Gift Set hardcover book with John McClane plush is $9.99 on Amazon https://t.co/jK4emq8Tus #ad https://t.…,en
36,Mon May 03 23:58:19 +0000 2021,1.3893687552186532e+18,"Capitalize on the Negative Overreaction Towards #ViacomCBS $VIAC 

$DISCA $NFLX $DIS $AAPL $FOXA $CMCSA $T $VZ… https://t.co/XsZ3sjDM3O",en
37,Mon May 03 23:58:18 +0000 2021,1.3893687541825782e+18,"DONT MISS THIS DEAL 

Massage Gun Deep Tissue Percussion Body Massager for Muscles Handheld Therapy and Relaxation,… https://t.co/TmBMAosBmP",en
38,Mon May 03 23:58:18 +0000 2021,1.3893687541786092e+18,"Star Wars Battlefront II price just Dropped Big TIME!

►https://t.co/GZlsmLVmW8

#starwars #mandalorian https://t.co/0G3cI0VQ5s",en
39,Mon May 03 23:58:17 +0000 2021,1.3893687495355146e+18,"RT @URDailyHistory: 3 May 1915: Canadian Lieutenant #Colonel, MD John #McCrae writes the poem ""In Flanders Fields"". He wrote the #poem in t…",en
40,Mon May 03 23:58:15 +0000 2021,1.3893687390496522e+18,"2 pack of LED RGB Flood Lights, $22.49!

*Coupon PLUS Save 30% with promo code 30TKHBLS 

https://t.co/N6Z0cSzgwJ https://t.co/yInpb1iiqH",en
41,Mon May 03 23:58:13 +0000 2021,1.3893687315125412e+18,"What makes a place, ""Haunted""?
Award winning book by Kitty Janusz 
Now on Amazon &amp; Kindle
https://t.co/okPuCHFlyP https://t.co/zucvgtMiB7",en
42,Sun May 02 07:59:00 +0000 2021,1.388764950466863e+18,"""House of Cards"" has always hit differently 🎂 Happy 5th birthday to @BTS_twt's ""The Most Beautiful Moment In Life:… https://t.co/99jv4iH4NS",en
43,Sun May 02 22:11:00 +0000 2021,1.3889793600240558e+18,POWER A Enhanced Wireless Controller for Nintendo Switch - Waluigi is up for preorder on Amazon ($49.99)… https://t.co/0zchqfK9ek,en
44,Sun May 02 14:21:00 +0000 2021,1.3888610816160686e+18,"Select 1st party Switch $39.99 physical/digital sale:
Amazon https://t.co/K4ErQUfYhK
GameStop… https://t.co/2VPfSEyqzv",en
45,Sun May 02 23:59:59 +0000 2021,1.3890067863306035e+18,"RT @AmazonMusicUK: ""House of Cards"" has always hit differently 🎂 Happy 5th birthday to @BTS_twt's ""The Most Beautiful Moment In Life: Young…",en
46,Sun May 02 23:59:58 +0000 2021,1.3890067851560264e+18,"RT @kinpri_castle: ✅ King &amp; Prince 新CM商品

🎮予約受付中
『ミートピア』
▼Amazon
https://t.co/SbE6d6ZmcT
▼楽天
https://t.co/04vBFwFQmL
▼7net
https://t.co/aJ9…",en
