,index,created_at,id,text,language
40,40.0,Mon May 03 23:58:15 +0000 2021,1.3893687390496522e+18,  pack of LED RGB Flood Lights            Coupon PLUS Save     with promo code   TKHBLS    ,en
41,41.0,Mon May 03 23:58:13 +0000 2021,1.3893687315125412e+18,What makes a place   Haunted   Award winning book by Kitty Janusz  Now on Amazon  amp  Kindle  ,en
42,45.0,Sun May 02 23:59:59 +0000 2021,1.3890067863306035e+18,   House of Cards  has always hit differently   Happy  th birthday to  s  The Most Beautiful Moment In Life  Young ,en
43,46.0,Sun May 02 23:59:58 +0000 2021,1.3890067851560264e+18,    King  amp  Prince  CM                    Amazon         net  ,en
44,47.0,Sun May 02 23:59:53 +0000 2021,1.3890067617853972e+18,  FREEFORMED HYBRIDS   An interesting sci fi take on the origins of humanity  a fairly original storyline   by   h ,en
45,48.0,Sun May 02 23:59:52 +0000 2021,1.3890067589039596e+18,  RT   What if Alien is right  Aren t those eyes the source of all his troubles and injuries  both those visible to the ,en
46,49.0,Sun May 02 23:59:51 +0000 2021,1.3890067559679508e+18,  MY NEWEST Luna Lake Cabins entry   standalone  full length novel A Second Kiss for Christmas  Can a ,en
47,50.0,Sun May 02 23:59:47 +0000 2021,1.3890067371565466e+18,A product in my  kit   Gaming   About this item  More Information    gigabyte  asus  intel  ,en
48,51.0,Sun May 02 23:59:47 +0000 2021,1.3890067360367124e+18,Wish you a happy  MothersDay   ,en
49,52.0,Sun May 02 23:59:45 +0000 2021,1.3890067284868506e+18, TSLA Watching closely for a breakout from this wedge  A break to the upside can bring                A break under  ,en
50,53.0,Sun May 02 23:59:44 +0000 2021,1.389006726020563e+18,   Wishing you Days of sunshine Book   The King s Blade   Book   The King s Spy  ,en
51,54.0,Sun May 02 23:59:35 +0000 2021,1.389006689567916e+18,Highland Warrior by  is  LIVE     SonsofSinclair  ,en
52,55.0,Sun May 02 23:59:33 +0000 2021,1.389006680583676e+18,   Surprise Shawty  I m live   click the link below to indulge in my latest romance suspense read  Happy Release Day to me    ,en
53,56.0,Sun May 02 23:59:33 +0000 2021,1.389006678843089e+18,    pack of Shower Caps           Save    with promo code   XFPHKG   ,en
54,57.0,Sun May 02 23:59:30 +0000 2021,1.3890066685502587e+18,Frosted Flakes Watch Charger Magnetic Charging Cable for iWatch Portable Wireless Charging Cord Compatible with App  ,en
55,58.0,Sun May 02 23:59:28 +0000 2021,1.3890066593605263e+18, We understand your concern  Some items may get shipped separately  To clarify  have we missed the delivery  ,en
56,59.0,Sun May 02 23:59:28 +0000 2021,1.389006658421072e+18,  Miitopia  Switch  is       off on Amazon    ad        releases May     You re welcome   ,en
57,60.0,Sun May 02 23:59:25 +0000 2021,1.3890066442526638e+18,Fortnite Concept Art  Gear up here    gt    fortnite  gameart ,en
58,61.0,Sun May 02 23:59:22 +0000 2021,1.3890066313802957e+18,                get an epiphany                            ,en
59,62.0,Sun May 02 23:59:13 +0000 2021,1.38900659742754e+18, Success is a journey  not a destination     Frank Sonnenberg   BookSmart,en
60,63.0,Sun May 02 23:59:12 +0000 2021,1.3890065895965532e+18,  Look at the size of this monster dildo    it felt so good  Loved every inch of it  New video on my onlyfans   ,en
61,64.0,Sun May 02 23:59:07 +0000 2021,1.3890065703783877e+18,Now Playing  Money Talks by  ACDC Listen Live at  Buy this song here    ,en
62,65.0,Sun May 02 23:59:06 +0000 2021,1.3890065669306614e+18,  ad  Funko Pop  Disney  Cruella  Cruella in Black Dress   Cruella in Red Dress  ,en
63,66.0,Sun May 02 23:59:04 +0000 2021,1.3890065567971e+18,   Lightning Deal    Bread Slippers for             off    ,en
64,67.0,Sun May 02 23:59:02 +0000 2021,1.3890065473811003e+18,   I completely understand local restrictions  I don t shotguns are bad  ,en
65,69.0,Sun May 02 23:59:01 +0000 2021,1.3890065450658488e+18,  Monster Hunter Chibi Plush pre orders  Amazon    ad        Play Asia          ,en
66,70.0,Sun May 02 23:59:00 +0000 2021,1.389006540535894e+18,STEAL      pack of LED Video Photo Lighting Kit            Save     with promo code   FDUL     ,en
